"symbol","owner","relationship","date","cost","# shares","value($)","total shares","filing","type","currentprice","movingaverage"
"SHRG","DOCUMENT SECURITY SYSTEMS INC","10% Owner","""Apr 17",,"0","1000000","85000","16082424","""Apr 21"," 2020"," 04:35 PM"""
"GPOR","Holroyd Samantha","See Explanation of Responses","""Apr 17",,"0","20500","14821","20500","""Apr 21"," 2020"," 04:30 PM"""
"VOXX","Kahli Beat","10% Owner","""Apr 17",,"4","29826","138989","2766693","""Apr 21"," 2020"," 04:00 PM"""
"VOXX","Kahli Beat","10% Owner","""Apr 20",,"4","100000","440000","288037","""Apr 21"," 2020"," 04:00 PM"""
"VOXX","Kahli Beat","10% Owner","""Apr 17",,"4","105000","467250","188037","""Apr 21"," 2020"," 04:00 PM"""
"TTP","CICCOTELLO CONRAD S","Director","""Apr 21",,"3","1200","3876","3271","""Apr 21"," 2020"," 03:57 PM"""
"NTG","CICCOTELLO CONRAD S","Director","""Apr 21",,"1","1200","1440","5591","""Apr 21"," 2020"," 03:55 PM"""
"NDP","CICCOTELLO CONRAD S","Director","""Apr 21",,"1","1200","1512","5300","""Apr 21"," 2020"," 03:51 PM"""
"TYG","CICCOTELLO CONRAD S","Director","""Apr 21",,"3","1200","3708","16186","""Apr 21"," 2020"," 03:48 PM"""
"VOLT","URSANER ARNOLD","Director","""Apr 20",,"0","10000","7000","75288","""Apr 21"," 2020"," 01:03 PM"""
"RVP","SHAW THOMAS J","President and CEO","""Apr 20",,"2","700","1799","14552306","""Apr 21"," 2020"," 12:22 PM"""
"TIPT","Barnes Michael Gene","Executive Chairman","""Apr 17",,"5","2795","14945","8251925","""Apr 21"," 2020"," 10:05 AM"""
"TIPT","Barnes Michael Gene","Executive Chairman","""Apr 20",,"5","2771","14564","8254696","""Apr 21"," 2020"," 10:05 AM"""
"TREC","Quarles Patrick D.","President and CEO","""Apr 20",,"5","7231","41578","199033","""Apr 21"," 2020"," 08:48 AM"""
"SAMG","HOUGH RICHARD R III","Chairman and CEO","""Apr 20",,"9","36","340","9586","""Apr 20"," 2020"," 08:34 PM"""
"SAMG","HOUGH RICHARD R III","Chairman and CEO","""Apr 17",,"9","5350","49648","9550","""Apr 20"," 2020"," 08:34 PM"""
"XELB","D LOREN ROBERT W","CEO & Chairman","""Apr 20",,"0","8000","4400","1375500","""Apr 20"," 2020"," 06:00 PM"""
"XELB","D LOREN ROBERT W","CEO & Chairman","""Apr 17",,"0","1600","880","1367500","""Apr 20"," 2020"," 06:00 PM"""
"XELB","D LOREN ROBERT W","CEO & Chairman","""Apr 16",,"0","1958","1077","1365900","""Apr 20"," 2020"," 06:00 PM"""
"LQDT","Angrick William P III","Chairman of the Board and CEO","""Apr 20",,"4","16147","80412","4551871","""Apr 20"," 2020"," 05:39 PM"""
"LQDT","Angrick William P III","Chairman of the Board and CEO","""Apr 17",,"4","29941","146411","4535724","""Apr 20"," 2020"," 05:39 PM"""
"LQDT","Angrick William P III","Chairman of the Board and CEO","""Apr 16",,"4","29687","141013","4505783","""Apr 20"," 2020"," 05:39 PM"""
"AA","Nevels James E","Director","""Apr 17",,"7","200","1464","13102","""Apr 20"," 2020"," 05:27 PM"""
"RGT","CLARK CHRISTOPHER D","President","""Apr 17",,"8","3771","33600","33538","""Apr 20"," 2020"," 05:01 PM"""
"RGT","CLARK CHRISTOPHER D","President","""Apr 20",,"8","6205","55132","39743","""Apr 20"," 2020"," 05:01 PM"""
"MN","McGreevy Aaron Thomas","See Remarks","""Mar 06",,"1","2717","4266","209825","""Apr 20"," 2020"," 04:22 PM"""
"HQI","Hermanns Richard","President and CEO","""Apr 15",,"6","2500","16575","5846190","""Apr 20"," 2020"," 04:06 PM"""
"HQI","Hermanns Richard","President and CEO","""Apr 17",,"6","2500","16605","5851190","""Apr 20"," 2020"," 04:06 PM"""
